SMILES,Density_MD (kg/m3)
Oc1cnc(s1)c1ccoc1O,1424.83
Oc1coc(c1)Oc1nccs1,1376.9
Oc1oc(cc1O)c1ncsc1,1418.43
Oc1occ(c1)Oc1cncs1,1388.27
Oc1occ(c1)c1scc(n1)O,1412.77
Oc1scc(n1)CC1CCCC1,1112.92
Oc1scnc1Oc1cocc1,1384.76
c1ccc(cc1)CCc1ccccn1,988.638
CC1(CCCC1)C1(S)CCCC1,986.621
CC1(CCCC1)SC1CCCC1,948.262
CC1C(CCC1O)c1nncs1,1164.72
CC1NCNC(N1)c1cncs1,1261.63
CCc1cccnc1c1ccncc1,1051.61
Cc1ccc(cc1)c1ccccc1O,1050.21
Cc1ccc(nc1)c1ccc(cn1)C,1044.1
Cc1ccnc(c1)c1cnccc1C,1047.57
Cc1ccnc(c1c1ccccn1)C,1039.7
Cc1cnc(cc1C)c1ccncc1,1061.36
Cc1cncc(c1)c1ccncc1C,1050.76
Cc1cnccc1c1cnccc1C,1041.64
Cc1ncc(c(c1)c1cccnc1)C,1051
Cc1nccc(c1)Cc1ccccn1,1045.6
Cc1ncccc1c1ccncc1C,1041.9
Cc1ncsc1C1NCNCN1,1275.42
N1CNCN(C1)Cc1ncsc1,1263.93
OC(c1cnsn1)C1CCCC1,1179.53
OC1CC(CC1O)c1cscc1,1181.88
OC1CCC(C1)c1sccc1O,1183.79
OC1CCCC1(S)c1cocc1,1179.39
OC1CCCC1c1cocc1S,1170.17
OC1CCCC1c1cscc1O,1181.84
OCC1CCC(C1)c1nncs1,1169.38
OCC1CCC(C1)c1nsnc1,1186.22
OOC1(CCCC1)c1cscc1,1141.35
OOc1coc(c1)c1nncs1,1419.32
OOc1cocc1c1nncs1,1434.29
OOc1nnc(s1)c1ccco1,1414.22
OOc1nsnc1c1ccco1,1449.98
OOc1occ(c1)c1nsnc1,1444.77
Oc1csc(c1)OC1CCCC1,1149.29
Oc1nnc(s1)c1ccoc1O,1477.4
Oc1occ(c1O)c1nncs1,1485.92
SC1CCC(C1)c1coc(c1)O,1171.69
SC1CCC(C1)c1cocc1O,1173.71
Sc1ccoc1OC1CCCC1,1132.44
C1NCN(CN1)Oc1cscc1,1290.77
CC(c1cnccn1)c1ccccn1,1087.8
CC1(O)CCC(C1)C1NCNCN1,1100.85
CC1CCC(C1)N1CNCN(C1)O,1083.85
CC1NC(O)NC(N1)C1CCCC1,1089.99
CC1NCNCN1OC1CCCC1,1062.5
CCc1ccncc1c1cnccn1,1092.89
COC1(CCCC1)C1NCNCN1,1113.48
COC1(NCNCN1)C1CCCC1,1096.49
COc1ccccc1c1ccccn1,1086.88
COc1ccccc1c1ccncc1,1093.01
Cc1cncc(c1)Cc1nccnc1,1088.64
Cc1ncc(nc1)c1cncc(c1)C,1093.91
Cc1ncc(nc1C)c1ccccn1,1084.54
Cc1nccc(c1)c1cncc(n1)C,1088.44
OC(N1CNCNC1)C1CCCC1,1108.54
OC1(CCCC1)c1ncsc1O,1234.2
OC1CCC(C1O)c1nccs1,1233.79
OC1CCC(C1c1scnc1)O,1238.09
OC1CCCC1Oc1cncs1,1209.81
OCC1(NCNCN1)C1CCCC1,1120.25
OCc1cccc(c1)c1cccnc1,1110.32
OCc1cccnc1c1ccccc1,1102.96
ON1C(C)NCNC1C1CCCC1,1072.82
ON1CNC(NC1)(O)c1cocc1,1349.07
ON1CNCNC1c1ccoc1O,1360.19
ON1CNCNC1c1coc(c1)O,1365.93
OOC1(CCCC1)c1ncsc1,1192.29
OOC1NCNC(N1)c1cocc1,1330.84
OON1CNCNC1c1ccco1,1302.23
Oc1ccc(cc1)Cc1ccncc1,1086.49
Oc1ccc(o1)OC1NCNCN1,1349.45
Oc1ccnc(c1c1ccccc1)C,1087.71
Oc1coc(c1)OC1NCNCN1,1353.59
Oc1ncc(cc1C)c1ccccc1,1106.12
Oc1ncc(s1)OC1CCCC1,1200.83
Oc1occc1OC1NCNCN1,1351.52
Oc1scc(c1)N1CNCNC1,1338.95
SC1NCNCN1c1ccco1,1313.82
Sc1cocc1N1CNCNC1,1334.26
