Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom,Pol_tz
1478606,C1SCC(SC1)(c1scnn1)c1ccc2c(c1c1cccnc1)cccc2,F6-F16-F8-F11,285.7477,1265.34,361.567994718,1.5773,289.3366,4,407.57478,1.58614534847,320.1874
1478775,C1SCC(SC1)c1c(ccc2c1cccc2)N1CNC(NC1)c1ccccc1,F9-F16-F5-F6,298.9874,1189.74,355.71726927599997,1.5659,309.7942,4,407.5947,1.5909626381900002,339.9899
1478984,C1SCC(SC1)c1ccc(cn1)c1ccc2c(c1)cccc2c1scnn1,F8-F16-F11-F6,308.8956,1282.52,396.16478491199996,1.6466,322.7794,4,407.57478,1.6838223095299998,357.0267
1479268,C1SCC(SC1)c1nsnc1c1ccncc1c1ccc2c(c1)cccc2,F11-F16-F13-F6,286.4689,1264.5,362.23992405,1.5786,302.8608,4,407.57478,1.61970071876,332.2876
1479374,N1CNC(NC1)C1CSC(C(S1)C1CSCCS1)c1nsnc1,F6-F9-F13-F6,239.5595,1384.02,331.55513919,1.5198,244.0892,4,407.66434,1.53158900318,273.53
1479385,N1CNC(NC1)C1CSC(CS1)C1CSCC(S1)c1nncs1,F6-F6-F8-F9,244.0741,1381.35,337.151758035,1.5303,249.7441,4,407.66434,1.54514636634,282.4989
1479556,N1CNC(NC1)c1cc2cc(ccc2cc1c1ccccc1)C1SCCSC1,F9-F16-F5-F6,307.4974,1219.66,375.04227888400004,1.6038,316.6329,4,407.5947,1.62616688516,347.3353
1479759,S1CC(SC(C1)c1ccc2c(c1)cccc2)c1ccc(cn1)c1nncs1,F6-F11-F8-F16,316.55400000000003,1276.91,404.21096814,1.6633,320.9375,4,407.57478,1.6750209280700001,358.7745
1479858,S1CC(SC(C1)c1ccncc1)c1cccc2c1cc(cc2)c1nncs1,F8-F16-F6-F11,302.8187,1274.08,385.815249296,1.6255,314.2177,4,407.57478,1.65522549627,347.015
1480083,S1CC(SC(C1)c1nsnc1)c1nccc(c1)c1ccc2c(c1)cccc2,F6-F11-F13-F16,306.4774,1289.44,395.184218656,1.6446,312.1768,4,407.57478,1.65978573027,348.4141
1480370,c1ccc(cn1)c1cccc2c1cc(cc2)C1CSC(CS1)c1nsnc1,F6-F16-F13-F11,288.0649,1292.97,372.45927375300005,1.5987,298.2102,4,407.57478,1.6249740135,325.6228
1480403,c1ccc(nc1)C1(SCC(SC1)c1scnn1)c1ccc2c(c1)cccc2,F6-F11-F8-F16,292.1939,1282.81,374.829256859,1.6034,293.0526,4,407.57478,1.6055877963499998,328.3315
1480424,c1ccc(nc1)C1CSC(CS1)c1ccc(c2c1cccc2)c1nsnc1,F13-F16-F6-F11,297.9831,1294.84,385.840437204,1.6255,308.8828,4,407.57478,1.6544279076800001,344.005
1480477,c1ccc(nc1)C1SCC(SC1)c1ccc2c(c1c1cnsn1)cccc2,F13-F16-F6-F11,296.3732,1278.1,378.79458692,1.6113,303.4203,4,407.57478,1.62948713495,336.8435
